"time","electro_Mechanical_Model.omega","electro_Mechanical_Model.theta","thermal_model.MainBody.T","thermal_model.Panel1.T","thermal_model.Radiator1.T","electro_Mechanical_Model.resistor.i"
12.5,3.757391772538957e-5,-0.6802881393207902,294.3378701441363,322.50040715116785,289.7909017526679,3.333099648796205e-7
12.6,3.92281821683143e-5,-0.6664332822756179,294.34614120610865,322.5079446969284,289.6982756401575,1.7716469188102023e-7
12.7,3.987294534865921e-5,-0.6521649099407762,294.3493647640559,322.5115086532703,289.5981556564542,2.2391883002035134e-8
12.8,3.95294505266091e-5,-0.6378433298263537,294.3476470405368,322.5111574646774,289.49327856285805,-1.2725348238438007e-7
12.9,3.824230387152586e-5,-0.6238170174067167,294.34121107216475,322.50704318182403,289.38637565168483,-2.6831132599791205e-7
13,3.607735980802748e-5,-0.6104145327653394,294.33038613624296,322.4994036679891,289.2801143628261,-3.9767570275244787e-7
13.1,3.311919175920388e-5,-0.5979370407959547,294.31559510428355,322.4885530983689,289.17700344259276,-5.127041131248739e-7
13.2,2.946826589944065e-5,-0.5866525171490528,294.2973403108771,322.47487111709455,289.0794003120058,-6.111696483909377e-7
13.3,2.5237661594796203e-5,-0.576790236157873,294.2761871556626,322.4587902475713,288.98940065102767,-6.913848359921574e-7
13.4,2.0549853159736857e-5,-0.5685370653623035,294.2527480122265,322.4407832929327,288.9088510839507,-7.521419634940248e-7
13.5,1.5533399592391496e-5,-0.5620345870542236,294.22766567669964,322.4213504108543,288.8392922480928,-7.927565475618193e-7
13.6,1.0319710342132746e-5,-0.5573775380970744,294.2015971966543,322.4010063381459,288.7819545558282,-8.130335574815374e-7
13.7,5.039887876539729e-6,-0.5546132056979535,294.175198083953,322.3802678800342,288.7377381682219,-8.132581311904368e-7
13.796533054631107,2.5316268331046814e-10,-0.5537411035425206,294.14999994058496,322.3603497380437,288.708035345887,-7.951377996629531e-7
13.796533054631107,2.5316268331046814e-10,-0.5537411035425206,294.14999994058496,322.3603497380437,288.708035345887,-7.951377996629531e-7
13.8,-1.7827182610847006e-7,-0.5537422146233507,294.1491073172639,322.35964192641524,288.70720936835124,-7.941641369191252e-7
13.9,-5.211098060337971e-6,-0.5547179880036787,294.12394324815386,322.33962221648204,288.69059802671205,-7.569278722903812e-7
14,-9.948285000121497e-6,-0.5574548359214192,294.1002574032712,322.32065212935584,288.68780884575904,-7.030385652067189e-7
14.1,-1.4289402637245742e-5,-0.5618316312623126,294.07855192968736,322.3031382709935,288.69846451857364,-6.342778476823263e-7
14.2,-1.8141212794030207e-5,-0.5676875164472552,294.0592930147273,322.28746140343674,288.72188444752715,-5.52784005680367e-7
14.3,-2.1429611610588334e-5,-0.5748292702936326,294.04285117375554,322.27392860481353,288.757077000082,-4.6091730065107677e-7
14.4,-2.4097235733080327e-5,-0.5830430218291824,294.02951321942703,322.2627819767072,288.8028341239587,-3.6115061405357074e-7
14.5,-2.6100485709300847e-5,-0.5920987951527723,294.01949714468634,322.2542101518909,288.8577588229427,-2.5606561208299473e-7
14.6,-2.741243237733286e-5,-0.6017527240367502,294.01293759095233,322.2483366454692,288.92027868695675,-1.4829763908296128e-7
14.7,-2.8023626966062166e-5,-0.6117538816419837,294.00988179774475,322.24521620123517,288.9886897647893,-4.0461516806221755e-8
14.8,-2.7942452352693895e-5,-0.6218504124495262,294.0102878463516,322.24483298988156,289.06116404291583,6.486411095726613e-8
14.9,-2.719322827621117e-5,-0.6317964972334839,294.0140341340347,322.2471076618424,289.13584263114313,1.6524974233107502e-7
15,-2.5815524056893336e-5,-0.6413581403111984,294.02092281048846,322.2518996719823,289.2108726022884,2.584608582232216e-7
15.1,-2.3862572199920373e-5,-0.6503182285843648,294.0306877097901,322.25901321963966,289.2844277626989,3.424693636260917e-7
15.2,-2.139999510013484e-5,-0.6584806757863302,294.0430007170358,322.2682020074877,289.3547659814235,4.1552185255594674e-7
15.3,-1.8503647433405548e-5,-0.6656752051369491,294.0574825565066,322.27917744113574,289.4202881284427,4.7619968356187714e-7
15.4,-1.525735382666209e-5,-0.6717610475724829,294.0737141032125,322.2916173190031,289.4795442858676,5.234010067135452e-7
15.5,-1.175105412636186e-5,-0.67662843531872,294.0912456566593,322.30517305501024,289.5312765587413,5.563806291667975e-7
15.6,-8.078014780274863e-6,-0.6802009037379991,294.1096108841085,322.31948055703964,289.5744828819672,5.748090945605023e-7
15.7,-4.332896599332978e-6,-0.6824353168235858,294.12833648151764,322.33416783092,289.60837934728295,5.786947678249328e-7
15.8,-6.08980438758501e-7,-0.6833225867859343,294.14695604504834,322.3488659476016,289.6324008376324,5.683509265449241e-7
15.816573906978245,-1.7654970159875283e-10,-0.6833406951800297,294.150000059415,322.3512778198402,289.6354069055074,5.653083672073409e-7
15.816573906978245,-1.7654970159875283e-10,-0.6833406951800297,294.150000059415,322.3512778198402,289.6354069055074,5.653083672073409e-7
15.9,3.0022739615922606e-6,-0.6828881783219771,294.16501227743595,322.363210730585,289.646330048317,5.445776310927561e-7
16,6.41568779335124e-6,-0.6811905732304535,294.1820792863266,322.3768604818443,289.65016605870807,5.084170948016902e-7
16.1,9.560499089692964e-6,-0.6783089116399197,294.197803263938,322.3895291706955,289.64415370562557,4.610952003646941e-7
16.2,1.2368885172491978e-5,-0.6743516094422777,294.21184509942583,322.4009402939967,289.62876798770964,4.0413973248831375e-7
16.3,1.4781896385111172e-5,-0.6694524691899336,294.22391004743497,322.41085068386934,289.6047140874767,3.3930761303078166e-7
16.4,1.6754151663537373e-5,-0.6637624846152712,294.2337712057637,322.4190697146159,289.5728879867103,2.6846954623880613e-7
16.5,1.8252792810044032e-5,-0.6574459756173114,294.2412642866645,322.42545544425093,289.5343410053601,1.9357073116829786e-7
16.6,1.9258346294518147e-5,-0.6506779488086251,294.2462919257936,322.4299182305457,289.4902624261597,1.1659475991255917e-7
16.7,1.976359562558202e-5,-0.6436377659725852,294.2488180439556,322.4324167270226,289.4419259570671,3.949882891512726e-8
16.8,1.9773949830839034e-5,-0.6365051953962403,294.248869689432,322.43295963139286,289.3906621155708,-3.583127724901869e-8
16.9,1.930662024346078e-5,-0.6294556654689065,294.2465329218314,322.43160276846413,289.3378183856894,-1.0762958413686049e-7
17,1.838983613085322e-5,-0.6226564847372972,294.24194889017673,322.4284462507532,289.2847289095868,-1.7428474471995318e-7
17.1,1.706175459959934e-5,-0.6162631798007953,294.2353083823744,322.42363041546605,289.2326831861583,-2.343725859825063e-7
17.2,1.5368952308365374e-5,-0.6104155708867395,294.2268442837238,322.4173301257823,289.1828907636937,-2.866893957071566e-7
17.3,1.3365055388227748e-5,-0.6052352732107193,294.21682472649786,322.409749496809,289.136460955839,-3.302648288748308e-7
17.4,1.110913713333977e-5,-0.6008235437734697,294.20554507837085,322.40111569272847,289.0943792895565,-3.6437681433926043e-7
17.5,8.664169516906377e-6,-0.59725981749858,294.1933201999915,322.3916728789363,289.0574919750264,-3.885553286195265e-7
17.6,6.095374252911815e-6,-0.5946005242723993,294.18047620029535,322.3816757570119,289.02649290234444,-4.025812202634337e-7
17.7,3.468588014053927e-6,-0.5928784433833825,294.16734226259814,322.3713831175285,289.00191194833326,-4.0648333862368133e-7
17.8,8.486727453334069e-7,-0.5921027207355399,294.154242696178,322.36105152735274,288.984107823317,-4.005295708996035e-7
17.832852797399347,1.2028349392110306e-10,-0.5920526731643755,294.14999994058496,322.3576912148373,288.9797739653295,-3.96499896090326e-7
17.832852797399347,1.2028349392110306e-10,-0.5920526731643755,294.14999994058496,322.3576912148373,288.9797739653295,-3.96499896090326e-7
17.9,-1.7014268239110033e-6,-0.5922589001478792,294.1414922238516,322.3509315862321,288.97326630218646,-3.85217869404672e-7
18,-4.1223745330199065e-6,-0.5933098465973801,294.1293875252409,322.34126114677883,288.9693991550749,-3.6125713649183866e-7
18.1,-6.36379171253939e-6,-0.5952019383621012,294.1181804923124,322.3322436818978,288.97236174614903,-3.294759711032052e-7
18.2,-8.377667257234202e-6,-0.5978637498726572,294.1081111789306,322.324074499775,288.98187496148086,-2.908711882625219e-7
18.3,-1.0121352762647188e-5,-0.601204342793771,294.0993928251703,322.3169289905052,288.99749807022647,-2.466110097147345e-7
18.4,-1.1562658371515172e-5,-0.60511839491129,294.09218637821624,322.3109420727785,289.0186389665069,-1.9795770489725204e-7
18.5,-1.2679208387062863e-5,-0.6094917924373652,294.08660371438634,322.3062103666548,289.04459911357054,-1.4620956679220006e-7
18.6,-1.3454418670756674e-5,-0.6142059619731997,294.08272775217785,322.30280784680997,289.0746227704677,-9.267798492536547e-8
18.7,-1.388122980621259e-5,-0.6191369550902028,294.0805937864653,322.3007711056584,289.1078545109523,-3.870406009200876e-8
18.8,-1.3959816476349981e-5,-0.6241600764721638,294.08020094166847,322.30010813050416,289.1434160129689,1.442593376024872e-8
18.9,-1.3699370525048046e-5,-0.629150706550794,294.08150325647773,322.30079117027475,289.1803778659096,6.546107003134445e-8
19,-1.3117964896154878e-5,-0.6339888476972867,294.08441036423585,322.30275696391703,289.2177900175885,1.1322877592645206e-7
19.1,-1.2240240757243995e-5,-0.6385637076236086,294.08879905737473,322.3059155999034,289.25474186640696,1.566946474979327e-7
19.2,-1.109720750156322e-5,-0.6427736431973045,294.094514287411,322.3101512949544,289.29035545962273,1.9495008901879274e-7
19.3,-9.725135253143772e-6,-0.6465296591340882,294.1013747024688,322.3153265463126,289.32381383777636,2.2724035324471163e-7
19.4,-8.164833293617885e-6,-0.6497561673164698,294.10917625515515,322.3212849343769,289.3543732141193,2.5297358781460007e-7
19.5,-6.460176032355751e-6,-0.6523932918080323,294.11769957273896,322.32785679874115,289.38138801870224,2.7173956791658387e-7
19.6,-4.657198826838316e-6,-0.654397305896861,294.12671447805377,322.3348627830601,289.4043203593263,2.833125353028782e-7
19.7,-2.803011396612054e-6,-0.6557411698375792,294.1359854224286,322.3421180958838,289.42274623357184,2.8764702746648235e-7
19.8,-9.441375222680951e-7,-0.6564148112452868,294.1452797871807,322.34943907712267,289.4363673345372,2.848748668002841e-7
19.85148374052062,-8.170718774083735e-11,-0.6565018673437961,294.150000059415,322.3531750763943,289.44144660871666,2.807697911899181e-7
19.85148374052062,-8.170718774083735e-11,-0.6565018673437961,294.150000059415,322.3531750763943,289.44144660871666,2.807697911899181e-7
19.9,8.742681024247475e-7,-0.6564253739599841,294.1543717993571,322.35664627422256,289.44501905531666,2.753073139473105e-7
20,2.607581052256621e-6,-0.6557977935693062,294.1630383376666,322.3635610677262,289.4486693123145,2.594436560527332e-7
20.1,4.218872830903123e-6,-0.6545685241842746,294.1710947605972,322.37003452413364,289.44740685788463,2.3786626323230757e-7
20.2,5.675776628310876e-6,-0.6527841077096609,294.17837923521114,322.37593507168435,289.44141646124984,2.112425752561911e-7
20.3,6.947032286858304e-6,-0.6505067835273134,294.1847354621028,322.3811344080116,289.4310025565908,1.804020451508992e-7
20.4,8.00727505517271e-6,-0.6478087725304762,294.19003661902303,322.3855268893413,289.4165700083147,1.4624929858169633e-7
20.5,8.837969773031393e-6,-0.64476976815381,294.1941900317496,322.3890334133651,289.39860988541614,1.0973180322786731e-7
20.6,9.426738762972474e-6,-0.6414743757102648,294.19713381350545,322.39159893882044,289.37767723166866,7.181546913708174e-8
20.7,9.767790013391615e-6,-0.6380108921801929,294.1988390058462,322.39319427217515,289.35438373305976,3.3468638065459014e-8
20.8,9.861523926058023e-6,-0.6344690466923003,294.19930761236145,322.3938146709423,289.3293792159183,-4.3602505748930355e-9
20.9,9.71417556998975e-6,-0.6309371247560237,294.19857080989556,322.3934786315052,289.3033288735627,-4.0771693273623095e-8
21,9.337698405035634e-6,-0.6275000571081567,294.1966883671328,322.39222756292116,289.2768991205634,-7.493444040559563e-8
21.1,8.74907905291446e-6,-0.6242372893586372,294.193745218422,322.39012322230656,289.25073873580504,-1.0610477046413293e-7
21.2,7.969847473819314e-6,-0.6212215027321943,294.1898490146405,322.38724586143854,289.2254679670173,-1.3363646041249707e-7
21.3,7.025584041808117e-6,-0.6185172496564821,294.18512765855405,322.38369236809916,289.20166651126266,-1.5699237711745115e-7
21.4,5.944763249987354e-6,-0.6161788153183176,294.17972352331606,322.3795718295648,289.179853328625,-1.7575991363418673e-7
21.5,4.7580714172187185e-6,-0.6142497767795063,294.1737900409986,322.3750028602305,289.1604801028908,-1.8965222342644736e-7
21.6,3.4976963906021886e-6,-0.6127624117549114,294.167488151106,322.3701108176631,289.14392540163107,-1.9850807775338494e-7
21.7,2.1963992392656127e-6,-0.6117371000439311,294.1609816590397,322.36502416605816,289.13048554330794,-2.022938923196823e-7
21.8,8.867826347195268e-7,-0.6111826233521735,294.1544335780128,322.35987155255,289.1203734357738,-2.0109647261941048e-7
21.86859990986217,5.394797237591631e-11,-0.6110735860696036,294.14999994058496,322.35636411600814,289.1154303938606,-1.9749312525512906e-7
21.86859990986217,5.394797237591631e-11,-0.6110735860696036,294.14999994058496,322.35636411600814,289.1154303938606,-1.9749312525512906e-7
21.9,-3.9941929101299357e-7,-0.6110961858861452,294.1480025783483,322.3547789883173,289.11371596908685,-1.9511814338068194e-7
22,-1.6303265734165306e-6,-0.6114618766669179,294.1418480593052,322.3498739734477,289.11054868342484,-1.8469698084484811e-7
22.1,-2.77924016911562e-6,-0.6122546339041457,294.13610351542366,322.3452641052747,289.1108176666324,-1.7023884492248403e-7
22.2,-3.822699545611845e-6,-0.6134411898119404,294.13088624857807,322.3410447128107,289.11439618677497,-1.5221675201237917e-7
22.3,-4.74092510051844e-6,-0.6149835311925064,294.12629515594386,322.3372968607139,289.12110695209225,-1.3113281573085847e-7
22.4,-5.515599357411842e-6,-0.6168330248154019,294.12242182389406,322.3340965547111,289.1306904110495,-1.0759193095793914e-7
